,Year,coder1-encodings,Consistency,X,Y
1380,1990,Surface/Volume,1,819,0
1381,1990,Surface/Volume,1,820,0
1382,1990,Surface/Volume,1,821,0
1383,1990,Surface/Volume,1,822,0
1384,1990,Surface/Volume,1,823,0
1385,1990,Surface/Volume,1,824,0
1386,1990,Surface/Volume,1,825,0
1387,1990,Surface/Volume,1,826,0
1388,1990,Surface/Volume,1,827,0
1389,1990,Surface/Volume,1,828,0
1390,1990,Surface/Volume,1,829,0
1391,1990,Surface/Volume,1,830,0
1392,1990,Surface/Volume,1,831,0
1393,1990,Surface/Volume,1,832,0
1394,1990,Surface/Volume,1,833,0
1395,1990,Surface/Volume,1,834,1
1396,1990,Surface/Volume,1,835,1
1397,1990,Surface/Volume,1,836,1
1398,1990,Surface/Volume,1,837,1
1399,1990,Surface/Volume,1,838,1
1400,1990,Surface/Volume,1,789,1
1401,1990,Surface/Volume,1,790,1
1402,1990,Surface/Volume,1,791,1
1403,1990,Surface/Volume,1,792,1
1404,1990,Surface/Volume,1,793,1
1405,1990,Surface/Volume,1,794,1
1406,1990,Surface/Volume,1,795,1
1407,1990,Surface/Volume,1,796,1
1408,1990,Surface/Volume,1,797,1
1409,1990,Surface/Volume,1,798,1
1410,1990,Surface/Volume,1,799,1
1411,1990,Surface/Volume,1,800,1
1412,1990,Surface/Volume,1,801,1
1413,1990,Surface/Volume,1,802,1
1414,1990,Surface/Volume,1,803,1
1415,1995,Surface/Volume,0,804,1
1416,1995,Surface/Volume,0,805,1
1417,1995,Surface/Volume,0,806,1
1418,1995,Surface/Volume,1,807,1
1419,1995,Surface/Volume,1,808,1
1420,1995,Surface/Volume,1,809,1
1421,1995,Surface/Volume,1,810,1
1422,1995,Surface/Volume,1,811,1
1423,1995,Surface/Volume,1,812,1
1424,1995,Surface/Volume,1,813,1
1425,1995,Surface/Volume,1,814,1
1426,1995,Surface/Volume,1,815,1
1427,1995,Surface/Volume,1,816,1
1428,1995,Surface/Volume,1,817,1
1429,1995,Surface/Volume,1,818,1
1430,1995,Surface/Volume,1,819,1
1431,1995,Surface/Volume,1,820,1
1432,1995,Surface/Volume,1,821,1
1433,1995,Surface/Volume,1,822,1
1434,1995,Surface/Volume,1,823,1
1435,1995,Surface/Volume,1,824,1
1436,1995,Surface/Volume,1,825,1
1437,1995,Surface/Volume,1,826,1
1438,1995,Surface/Volume,1,827,1
1439,1995,Surface/Volume,1,828,1
1440,1995,Surface/Volume,1,829,1
1441,1995,Surface/Volume,1,830,1
1442,1995,Surface/Volume,1,831,1
1443,1995,Surface/Volume,1,832,1
1444,1995,Surface/Volume,1,833,1
1445,1995,Surface/Volume,1,834,2
1446,1995,Surface/Volume,1,835,2
1447,1995,Surface/Volume,1,836,2
1448,1995,Surface/Volume,1,837,2
1449,1995,Surface/Volume,1,838,2
1450,1995,Surface/Volume,1,789,2
1451,1995,Surface/Volume,1,790,2
1452,1995,Surface/Volume,1,791,2
1453,1995,Surface/Volume,1,792,2
1454,1995,Surface/Volume,1,793,2
1455,1995,Surface/Volume,1,794,2
1456,1995,Surface/Volume,1,795,2
1457,1995,Surface/Volume,1,796,2
1458,1995,Surface/Volume,1,797,2
1459,1995,Surface/Volume,1,798,2
1460,1995,Surface/Volume,1,799,2
1461,1995,Surface/Volume,1,800,2
1462,1995,Surface/Volume,1,801,2
1463,1995,Surface/Volume,1,802,2
1464,1995,Surface/Volume,1,803,2
1465,1995,Surface/Volume,1,804,2
1466,1995,Surface/Volume,1,805,2
1467,1995,Surface/Volume,1,806,2
1468,1995,Surface/Volume,1,807,2
1469,1995,Surface/Volume,1,808,2
1470,1995,Surface/Volume,1,809,2
1471,1995,Surface/Volume,1,810,2
1472,1995,Surface/Volume,1,811,2
1473,1995,Surface/Volume,1,812,2
1474,1995,Surface/Volume,1,813,2
1475,1995,Surface/Volume,1,814,2
1476,1995,Surface/Volume,1,815,2
1477,1995,Surface/Volume,1,816,2
1478,1995,Surface/Volume,1,817,2
1479,1995,Surface/Volume,1,818,2
1480,1995,Surface/Volume,1,819,2
1481,1995,Surface/Volume,1,820,2
1482,1995,Surface/Volume,1,821,2
1483,1995,Surface/Volume,1,822,2
1484,1995,Surface/Volume,1,823,2
1485,1995,Surface/Volume,1,824,2
1486,1995,Surface/Volume,1,825,2
1487,1995,Surface/Volume,1,826,2
1488,1995,Surface/Volume,1,827,2
1489,1995,Surface/Volume,1,828,2
1490,1995,Surface/Volume,1,829,2
1491,1995,Surface/Volume,1,830,2
1492,1995,Surface/Volume,1,831,2
1493,2000,Surface/Volume,0,832,2
1494,2000,Surface/Volume,0,833,2
1495,2000,Surface/Volume,0,834,3
1496,2000,Surface/Volume,0,835,3
1497,2000,Surface/Volume,1,836,3
1498,2000,Surface/Volume,1,837,3
1499,2000,Surface/Volume,1,838,3
1500,2000,Surface/Volume,1,789,3
1501,2000,Surface/Volume,1,790,3
1502,2000,Surface/Volume,1,791,3
1503,2000,Surface/Volume,1,792,3
1504,2000,Surface/Volume,1,793,3
1505,2000,Surface/Volume,1,794,3
1506,2000,Surface/Volume,1,795,3
1507,2000,Surface/Volume,1,796,3
1508,2000,Surface/Volume,1,797,3
1509,2000,Surface/Volume,1,798,3
1510,2000,Surface/Volume,1,799,3
1511,2000,Surface/Volume,1,800,3
1512,2000,Surface/Volume,1,801,3
1513,2000,Surface/Volume,1,802,3
1514,2000,Surface/Volume,1,803,3
1515,2000,Surface/Volume,1,804,3
1516,2000,Surface/Volume,1,805,3
1517,2000,Surface/Volume,1,806,3
1518,2000,Surface/Volume,1,807,3
1519,2000,Surface/Volume,1,808,3
1520,2000,Surface/Volume,1,809,3
1521,2000,Surface/Volume,1,810,3
1522,2000,Surface/Volume,1,811,3
1523,2000,Surface/Volume,1,812,3
1524,2000,Surface/Volume,1,813,3
1525,2000,Surface/Volume,1,814,3
1526,2000,Surface/Volume,1,815,3
1527,2000,Surface/Volume,1,816,3
1528,2000,Surface/Volume,1,817,3
1529,2000,Surface/Volume,1,818,3
1530,2000,Surface/Volume,1,819,3
1531,2000,Surface/Volume,1,820,3
1532,2000,Surface/Volume,1,821,3
1533,2000,Surface/Volume,1,822,3
1534,2000,Surface/Volume,1,823,3
1535,2000,Surface/Volume,1,824,3
1536,2000,Surface/Volume,1,825,3
1537,2000,Surface/Volume,1,826,3
1538,2000,Surface/Volume,1,827,3
1539,2000,Surface/Volume,1,828,3
1540,2000,Surface/Volume,1,829,3
1541,2000,Surface/Volume,1,830,3
1542,2000,Surface/Volume,1,831,3
1543,2000,Surface/Volume,1,832,3
1544,2000,Surface/Volume,1,833,3
1545,2000,Surface/Volume,1,834,4
1546,2000,Surface/Volume,1,835,4
1547,2000,Surface/Volume,1,836,4
1548,2000,Surface/Volume,1,837,4
1549,2000,Surface/Volume,1,838,4
1550,2000,Surface/Volume,1,789,4
1551,2000,Surface/Volume,1,790,4
1552,2000,Surface/Volume,1,791,4
1553,2000,Surface/Volume,1,792,4
1554,2000,Surface/Volume,1,793,4
1555,2000,Surface/Volume,1,794,4
1556,2000,Surface/Volume,1,795,4
1557,2000,Surface/Volume,1,796,4
1558,2000,Surface/Volume,1,797,4
1559,2000,Surface/Volume,1,798,4
1560,2000,Surface/Volume,1,799,4
1561,2000,Surface/Volume,1,800,4
1562,2000,Surface/Volume,1,801,4
1563,2000,Surface/Volume,1,802,4
1564,2000,Surface/Volume,1,803,4
1565,2000,Surface/Volume,1,804,4
1566,2000,Surface/Volume,1,805,4
1567,2000,Surface/Volume,1,806,4
1568,2000,Surface/Volume,1,807,4
1569,2000,Surface/Volume,1,808,4
1570,2000,Surface/Volume,1,809,4
1571,2000,Surface/Volume,1,810,4
1572,2000,Surface/Volume,1,811,4
1573,2000,Surface/Volume,1,812,4
1574,2000,Surface/Volume,1,813,4
1575,2000,Surface/Volume,1,814,4
1576,2000,Surface/Volume,1,815,4
1577,2000,Surface/Volume,1,816,4
1578,2000,Surface/Volume,1,817,4
1579,2000,Surface/Volume,1,818,4
1580,2000,Surface/Volume,1,819,4
1581,2000,Surface/Volume,1,820,4
1582,2000,Surface/Volume,1,821,4
1583,2000,Surface/Volume,1,822,4
1584,2000,Surface/Volume,1,823,4
1585,2000,Surface/Volume,1,824,4
1586,2000,Surface/Volume,1,825,4
1587,2000,Surface/Volume,1,826,4
1588,2000,Surface/Volume,1,827,4
1589,2000,Surface/Volume,1,828,4
1590,2000,Surface/Volume,1,829,4
1591,2000,Surface/Volume,1,830,4
1592,2000,Surface/Volume,1,831,4
1593,2000,Surface/Volume,1,832,4
1594,2000,Surface/Volume,1,833,4
1595,2000,Surface/Volume,1,834,5
1596,2000,Surface/Volume,1,835,5
1597,2000,Surface/Volume,1,836,5
1598,2000,Surface/Volume,1,837,5
1599,2000,Surface/Volume,1,838,5
1600,2000,Surface/Volume,1,789,5
1601,2000,Surface/Volume,1,790,5
1602,2000,Surface/Volume,1,791,5
1603,2000,Surface/Volume,1,792,5
1604,2000,Surface/Volume,1,793,5
1605,2000,Surface/Volume,1,794,5
1606,2000,Surface/Volume,1,795,5
1607,2000,Surface/Volume,1,796,5
1608,2000,Surface/Volume,1,797,5
1609,2000,Surface/Volume,1,798,5
1610,2000,Surface/Volume,1,799,5
1611,2000,Surface/Volume,1,800,5
1612,2000,Surface/Volume,1,801,5
1613,2000,Surface/Volume,1,802,5
1614,2005,Surface/Volume,0,803,5
1615,2005,Surface/Volume,0,804,5
1616,2005,Surface/Volume,0,805,5
1617,2005,Surface/Volume,0,806,5
1618,2005,Surface/Volume,0,807,5
1619,2005,Surface/Volume,0,808,5
1620,2005,Surface/Volume,1,809,5
1621,2005,Surface/Volume,1,810,5
1622,2005,Surface/Volume,1,811,5
1623,2005,Surface/Volume,1,812,5
1624,2005,Surface/Volume,1,813,5
1625,2005,Surface/Volume,1,814,5
1626,2005,Surface/Volume,1,815,5
1627,2005,Surface/Volume,1,816,5
1628,2005,Surface/Volume,1,817,5
1629,2005,Surface/Volume,1,818,5
1630,2005,Surface/Volume,1,819,5
1631,2005,Surface/Volume,1,820,5
1632,2005,Surface/Volume,1,821,5
1633,2005,Surface/Volume,1,822,5
1634,2005,Surface/Volume,1,823,5
1635,2005,Surface/Volume,1,824,5
1636,2005,Surface/Volume,1,825,5
1637,2005,Surface/Volume,1,826,5
1638,2005,Surface/Volume,1,827,5
1639,2005,Surface/Volume,1,828,5
1640,2005,Surface/Volume,1,829,5
1641,2005,Surface/Volume,1,830,5
1642,2005,Surface/Volume,1,831,5
1643,2005,Surface/Volume,1,832,5
1644,2005,Surface/Volume,1,833,5
1645,2005,Surface/Volume,1,834,6
1646,2005,Surface/Volume,1,835,6
1647,2005,Surface/Volume,1,836,6
1648,2005,Surface/Volume,1,837,6
1649,2005,Surface/Volume,1,838,6
1650,2005,Surface/Volume,1,789,6
1651,2005,Surface/Volume,1,790,6
1652,2005,Surface/Volume,1,791,6
1653,2005,Surface/Volume,1,792,6
1654,2005,Surface/Volume,1,793,6
1655,2005,Surface/Volume,1,794,6
1656,2005,Surface/Volume,1,795,6
1657,2005,Surface/Volume,1,796,6
1658,2005,Surface/Volume,1,797,6
1659,2005,Surface/Volume,1,798,6
1660,2005,Surface/Volume,1,799,6
1661,2005,Surface/Volume,1,800,6
1662,2005,Surface/Volume,1,801,6
1663,2005,Surface/Volume,1,802,6
1664,2005,Surface/Volume,1,803,6
1665,2005,Surface/Volume,1,804,6
1666,2005,Surface/Volume,1,805,6
1667,2005,Surface/Volume,1,806,6
1668,2005,Surface/Volume,1,807,6
1669,2005,Surface/Volume,1,808,6
1670,2005,Surface/Volume,1,809,6
1671,2005,Surface/Volume,1,810,6
1672,2005,Surface/Volume,1,811,6
1673,2005,Surface/Volume,1,812,6
1674,2005,Surface/Volume,1,813,6
1675,2005,Surface/Volume,1,814,6
1676,2005,Surface/Volume,1,815,6
1677,2005,Surface/Volume,1,816,6
1678,2005,Surface/Volume,1,817,6
1679,2005,Surface/Volume,1,818,6
1680,2005,Surface/Volume,1,819,6
1681,2005,Surface/Volume,1,820,6
1682,2005,Surface/Volume,1,821,6
