,image_id,CFixationPointXImage,CFixationPointYImage,GazeEventDuration
4953,C33,80152.47645,48140.5473,217
4954,C33,87594.86399,49822.87825,325
4955,C33,89212.77433,54805.16608,208
4956,C33,73421.96946,60240.38916,133
4957,C33,73033.67098,59722.74887,100
4958,C33,56919.28404,74604.90731,275
4959,C33,50706.50835,83469.49733,333
4960,C33,42940.53874,84504.77792,450
4961,C33,37957.37491,82434.21675,167
4962,C33,28702.9278,76481.35337,67
4963,C33,28508.77856,74799.02242,158
4964,C33,25272.95789,77322.51885,208
4965,C33,26502.56974,68587.33889,350
4966,C33,22813.73418,70399.07992,92
4967,C33,60025.67188,73246.10154,142
4968,C33,70186.14879,74410.7922,142
4969,C33,84812.05822,69234.38926,233
4970,C33,98467.22144,55840.44667,142
4971,C33,106815.6388,48852.3027,150
4972,C33,108109.967,34034.8493,358
4973,C33,111086.9221,34552.48959,308
4974,C33,104291.6987,35523.06514,292
4975,C33,109467.0343,34256.34423,608
4976,C33,109039.5464,33676.93459,283
4977,C33,107684.4566,33789.32963,175
4978,C33,106910.2566,33766.56305,242
4979,C33,101403.3092,34509.11325,742
4980,C33,58084.17948,40440.64793,200
4981,C33,56789.85121,29376.08666,67
4982,C33,61449.43298,30087.84206,1450
4983,C33,62484.89559,30087.84206,475
4984,C33,44882.03115,32611.33849,100
4985,C33,59054.92568,30411.36725,200
4986,C33,61773.01504,30411.36725,425
4987,C33,91218.98314,29634.90681,233
4988,C33,40546.03145,64834.44677,117
4989,C33,24237.49527,84893.00814,142
4990,C33,22296.00287,89745.88589,183
4991,C33,17636.4211,90781.16648,200
4992,C33,15630.21229,91557.62692,1517
4993,C33,49606.32933,51311.0941,150
4994,C33,27473.31594,49111.12285,208
4995,C33,18283.58524,52022.8495,300
4996,C33,14788.89891,58040.41791,383
4997,C33,16600.95849,64510.92158,417
4998,C33,16600.95849,37528.92128,217
4999,C33,35433.43479,57134.5474,100
5000,C33,18477.73448,55516.92148,167
5001,C33,15630.21229,53705.18046,467
5002,C33,21907.70439,45099.41057,358
5003,C33,26567.28615,37464.21625,233
