,image_id,FixationPointX,FixationPointY
40531,C48,88,353
40532,C48,592,374
40533,C48,736,502
40534,C48,1033,887
40535,C48,708,562
40536,C48,1220,264
40537,C48,1311,198
40538,C48,1883,459
40539,C48,1786,484
40540,C48,1699,359
40541,C48,1437,189
40542,C48,1394,239
40543,C48,1333,213
40544,C48,1446,170
40545,C48,1108,253
40546,C48,1079,277
40547,C48,981,188
40548,C48,1245,338
40549,C48,1446,207
40550,C48,1556,473
40551,C48,1512,608
40552,C48,1664,668
40553,C48,1867,773
40554,C48,1030,541
40555,C48,602,589
40556,C48,1295,538
40557,C48,1265,593
40558,C48,1315,626
40559,C48,1161,510
40560,C48,1037,401
40561,C48,1288,611
40562,C48,1399,764
40563,C48,1349,837
40564,C48,1409,843
40565,C48,940,376
40566,C48,1274,603
40567,C48,1291,641
40568,C48,1217,644
40569,C48,978,403
40570,C48,1150,425
40571,C48,1249,458
40572,C48,1870,218
40573,C48,1160,426
40574,C48,1212,400
40575,C48,935,320
40576,C48,1226,452
40577,C48,1192,442
40578,C48,1404,643
40579,C48,1354,715
40580,C48,1403,571
40581,C48,1361,566
40582,C48,975,262
40583,C48,1240,443
40584,C48,339,391
40585,C48,1105,587
40586,C48,1484,571
40587,C48,1343,825
40588,C48,1240,811
40589,C48,1598,687
40590,C48,455,460
40591,C48,223,377
40592,C48,280,470
40593,C48,241,490
40594,C48,174,975
40595,C48,176,851
40596,C48,149,1003
40597,C48,540,1097
40598,C48,1315,1136
40599,C48,1635,779
40600,C48,1542,547
40601,C48,1569,770
40602,C48,1903,194
40603,C48,1937,163
40604,C48,1558,888
40605,C48,1629,865
40606,C48,979,721
40607,C48,1577,468
40608,C48,1451,319
40609,C48,1715,1042
40610,C48,1675,1330
40611,C48,1431,628
40612,C48,1387,516
40613,C48,1692,536
40614,C48,1502,474
40615,C48,1387,472
40616,C48,1326,354
40617,C48,1493,610
40618,C48,1623,705
40619,C48,1725,898
40620,C48,1593,791
40621,C48,1530,682
40622,C48,1108,841
40623,C48,1230,421
40624,C48,1297,301
40625,C48,915,235
40626,C48,1145,275
40627,C48,1280,222
40628,C48,1254,82
40629,C48,1262,282
40630,C48,1195,406
40631,C48,1145,388
40632,C48,1305,364
40633,C48,1607,378
40634,C48,1786,376
40635,C48,1745,370
40636,C48,1666,401
40637,C48,1569,435
40638,C48,1472,475
40639,C48,1518,476
40640,C48,1331,400
40641,C48,1296,449
40642,C48,1452,588
40643,C48,1500,669
40644,C48,1469,661
40645,C48,1528,699
40646,C48,1488,673
40647,C48,1352,556
40648,C48,1552,722
40649,C48,1478,643
40650,C48,1323,389
40651,C48,924,277
40652,C48,1344,418
40653,C48,1469,526
40654,C48,1502,553
40655,C48,1306,380
40656,C48,1293,331
40657,C48,1282,271
40658,C48,1011,260
40659,C48,859,348
40660,C48,1507,611
40661,C48,1438,648
40662,C48,1304,393
40663,C48,1402,404
40664,C48,1069,311
40665,C48,1192,221
40666,C48,1030,158
40667,C48,1065,259
40668,C48,1262,337
40669,C48,918,207
40670,C48,592,116
40671,C48,823,216
40672,C48,623,100
40673,C48,587,84
46485,C48,1231,643
46486,C48,1239,637
46487,C48,1094,653
46488,C48,1034,634
46489,C48,1345,694
46490,C48,1099,691
46491,C48,1128,686
46492,C48,1122,709
46493,C48,1080,688
46494,C48,1088,673
46495,C48,978,658
46496,C48,1829,365
46497,C48,2032,346
46498,C48,823,652
46499,C48,882,606
46500,C48,1885,591
46501,C48,1860,582
46502,C48,748,708
46503,C48,642,604
46504,C48,618,534
46505,C48,885,816
46506,C48,875,807
46507,C48,873,810
46508,C48,1136,633
46509,C48,1115,602
46510,C48,1240,455
46511,C48,665,524
46512,C48,600,506
46513,C48,476,893
46514,C48,517,891
46515,C48,386,856
46516,C48,688,768
46517,C48,1095,831
46518,C48,1405,968
46519,C48,1528,1019
46520,C48,973,433
46521,C48,1012,441
46522,C48,1032,419
46523,C48,1167,643
46524,C48,980,573
46525,C48,1068,568
46526,C48,1074,540
46527,C48,572,617
46528,C48,1190,442
46529,C48,1184,474
46530,C48,1415,555
46531,C48,1471,507
46532,C48,1056,508
46533,C48,1056,521
46534,C48,1599,613
46535,C48,1567,614
46536,C48,1163,534
46537,C48,762,563
46538,C48,494,601
46539,C48,397,608
46540,C48,1630,545
46541,C48,1632,545
46542,C48,1753,646
46543,C48,1340,673
46544,C48,863,725
46545,C48,482,864
46546,C48,459,763
46547,C48,1808,893
46548,C48,1880,853
46549,C48,1751,715
46550,C48,1263,757
46551,C48,1310,760
46552,C48,693,723
46553,C48,554,799
46554,C48,600,594
46555,C48,577,532
46556,C48,1102,645
46557,C48,1097,650
46558,C48,1095,647
46559,C48,1099,654
46560,C48,1322,693
46561,C48,1254,677
46562,C48,1239,667
46563,C48,587,567
46564,C48,440,635
46565,C48,1206,694
46566,C48,1263,696
46567,C48,1227,684
46568,C48,1231,684
46569,C48,1228,682
46570,C48,1045,837
46571,C48,1488,670
46572,C48,1463,456
46573,C48,2023,491
46574,C48,2008,524
46575,C48,964,533
46576,C48,1031,540
46577,C48,1171,707
46578,C48,1192,671
46579,C48,1246,596
46580,C48,1036,828
46581,C48,977,839
46582,C48,1212,777
46583,C48,1170,667
46584,C48,1738,683
46585,C48,1412,724
46586,C48,1444,759
46587,C48,1546,791
46588,C48,1182,895
46589,C48,1373,521
46590,C48,965,497
46591,C48,971,460
46592,C48,792,578
46593,C48,786,601
46594,C48,641,774
46595,C48,749,706
46596,C48,789,606
46597,C48,692,508
46598,C48,731,472
46599,C48,423,834
46600,C48,421,824
46601,C48,873,790
46602,C48,1045,764
46603,C48,527,747
46604,C48,1596,685
46605,C48,1520,661
46606,C48,1462,641
46607,C48,1860,802
46608,C48,1827,818
46609,C48,801,733
46610,C48,569,673
46611,C48,609,656
46612,C48,816,804
46613,C48,441,778
46614,C48,638,801
46615,C48,511,962
46616,C48,291,1179
46617,C48,1064,625
46618,C48,961,541
46619,C48,1142,607
46620,C48,1455,652
46621,C48,1398,519
46622,C48,777,765
46623,C48,812,675
46624,C48,560,472
46625,C48,1017,677
46626,C48,1167,635
46627,C48,1963,929
46628,C48,1779,762
46629,C48,1547,690
46630,C48,1508,680
46631,C48,846,686
46632,C48,566,699
46633,C48,1342,691
46634,C48,837,699
46635,C48,818,694
46636,C48,678,539
46637,C48,884,874
46638,C48,869,865
46639,C48,1104,927
46640,C48,1460,1051
46641,C48,1448,1048
46642,C48,1083,1116
46643,C48,1093,1090
46644,C48,1571,509
46645,C48,1868,425
46646,C48,1777,413
46647,C48,1758,414
46648,C48,1753,421
46649,C48,1758,423
46650,C48,1788,421
46651,C48,1784,418
46652,C48,1904,396
46653,C48,962,614
46654,C48,894,599
46655,C48,1044,563
46656,C48,1081,558
46657,C48,1027,506
46658,C48,1027,520
46659,C48,1175,656
46660,C48,1209,658
46661,C48,1200,655
46662,C48,1019,569
46663,C48,1159,622
46664,C48,1082,615
46665,C48,1081,619
46666,C48,1148,670
46667,C48,1159,873
46668,C48,1125,662
46669,C48,1100,683
46670,C48,993,581
46671,C48,977,580
46672,C48,1003,575
46673,C48,1121,620
46674,C48,949,669
46675,C48,955,660
46676,C48,1156,900
46677,C48,408,906
46678,C48,471,883
46679,C48,744,857
46680,C48,611,396
46681,C48,712,523
46682,C48,709,516
46683,C48,846,337
46684,C48,884,386
46685,C48,980,525
46686,C48,960,498
46687,C48,963,494
46688,C48,1081,449
46689,C48,1081,453
46690,C48,806,460
46691,C48,728,451
46692,C48,1900,424
46693,C48,2022,507
46694,C48,2031,550
46695,C48,2000,552
46696,C48,2083,629
46697,C48,2075,616
46698,C48,2101,661
46699,C48,2105,684
46700,C48,990,527
46701,C48,874,471
46702,C48,841,433
46703,C48,1031,392
46704,C48,835,458
46705,C48,457,627
46706,C48,417,963
46707,C48,323,1086
46708,C48,431,573
46709,C48,572,544
46710,C48,2100,548
46711,C48,1463,747
46712,C48,1546,638
46713,C48,1468,614
46714,C48,1514,616
46715,C48,1250,636
46716,C48,1321,639
46717,C48,1486,779
46718,C48,1451,1024
46719,C48,1460,1020
46720,C48,1453,1156
46721,C48,1463,1163
46722,C48,1536,622
46723,C48,1018,447
46724,C48,924,463
46725,C48,886,459
62664,C48,1328,657
62665,C48,1106,498
62666,C48,1009,627
62667,C48,916,679
62668,C48,1031,623
62669,C48,728,680
62670,C48,826,806
62671,C48,506,989
62672,C48,868,872
62673,C48,1163,695
62674,C48,1136,727
62675,C48,1184,686
62676,C48,744,997
62677,C48,603,1141
62678,C48,1104,827
62679,C48,1236,558
62680,C48,1103,335
62681,C48,1181,378
62682,C48,1220,247
62683,C48,1156,305
62684,C48,829,227
62685,C48,335,531
62686,C48,844,773
62687,C48,594,655
62688,C48,1110,1031
62689,C48,613,1050
62690,C48,669,1068
62691,C48,1827,589
62692,C48,1994,372
62693,C48,1182,914
62694,C48,1242,1011
62695,C48,1111,1025
62696,C48,1117,1116
62697,C48,1056,1274
62698,C48,1561,684
62699,C48,1701,1259
62700,C48,1365,848
62701,C48,1534,959
62702,C48,1290,763
62703,C48,1413,696
62704,C48,993,595
62705,C48,1462,646
62706,C48,1356,300
62707,C48,1524,633
62708,C48,621,644
62709,C48,545,352
62710,C48,594,340
62711,C48,606,229
62712,C48,552,315
62713,C48,871,406
62714,C48,902,491
62715,C48,951,523
62716,C48,686,470
62717,C48,843,507
62718,C48,686,726
62719,C48,470,760
62720,C48,486,912
62721,C48,632,1018
62722,C48,654,1131
62723,C48,307,1082
62724,C48,277,1026
62725,C48,984,718
62726,C48,1235,665
62727,C48,1194,782
62728,C48,1880,1039
62729,C48,1926,1147
62730,C48,1906,1168
62731,C48,614,962
62732,C48,395,1029
62733,C48,279,1020
62734,C48,1078,792
62735,C48,1611,770
62736,C48,914,776
62737,C48,852,960
62738,C48,920,1156
62739,C48,1370,523
65145,C48,910,794
65146,C48,913,852
65147,C48,935,666
65148,C48,899,688
65149,C48,758,701
65150,C48,488,459
65151,C48,374,472
65152,C48,688,609
65153,C48,611,657
65154,C48,892,374
65155,C48,472,418
